label,step,time,value
avg log pred advi,1,0.050563812255859375,-0.8244962229245586
avg log pred advi,2,0.07490110397338867,-0.6511361409591062
avg log pred advi,3,0.09980082511901855,-0.46850114741535
avg log pred advi,4,0.12320685386657715,-0.46280259041144833
avg log pred advi,5,0.14717483520507812,-0.5253810343558869
avg log pred advi,6,0.170975923538208,-0.6939807858275919
avg log pred advi,7,0.1948537826538086,-0.6025406368760594
avg log pred advi,8,0.21804285049438477,-0.5586684900421046
avg log pred advi,9,0.24169087409973145,-0.5103610931332254
avg log pred advi,10,0.26517295837402344,-0.4671865689874513
avg log pred advi,11,0.2887909412384033,-0.42555658490635595
avg log pred advi,12,0.313032865524292,-0.39318348035922096
avg log pred advi,13,0.33673810958862305,-0.3683900738008231
avg log pred advi,14,0.3599209785461426,-0.34325011644150066
avg log pred advi,15,0.3841249942779541,-0.32128292761582267
avg log pred advi,16,0.4081737995147705,-0.30183221052128817
avg log pred advi,17,0.4321877956390381,-0.284168665397173
avg log pred advi,18,0.45602893829345703,-0.2684097789983802
avg log pred advi,19,0.47992873191833496,-0.2543134844086492
avg log pred advi,20,0.5040698051452637,-0.24165681502622405
avg log pred advi,21,0.5273308753967285,-0.23071896784420068
avg log pred advi,22,0.5512809753417969,-0.22023406177730326
avg log pred advi,23,0.5752170085906982,-0.2107751469717514
avg log pred advi,24,0.5989530086517334,-0.20218064189167295
avg log pred advi,25,0.6224429607391357,-0.19410628537936128
avg log pred advi,26,0.6465449333190918,-0.18665200174469668
avg log pred advi,27,0.6704168319702148,-0.17974221368701776
avg log pred advi,28,0.6939997673034668,-0.1733236948473299
avg log pred advi,29,0.7175040245056152,-0.16734717644295818
avg log pred advi,30,0.7411818504333496,-0.1617707575966527
avg log pred advi,31,0.7652080059051514,-0.15662638126915002
avg log pred advi,32,0.7889199256896973,-0.15177046580103085
avg log pred advi,33,0.8130130767822266,-0.14717879169048553
avg log pred advi,34,0.836500883102417,-0.1428528648795657
avg log pred advi,35,0.8602681159973145,-0.13877140447965802
avg log pred advi,36,0.8845179080963135,-0.13491964644956084
avg log pred advi,37,0.9083640575408936,-0.13127520237406648
avg log pred advi,38,0.9322309494018555,-0.12782137558039336
avg log pred advi,39,0.9560408592224121,-0.12462440715575879
avg log pred advi,40,0.979813814163208,-0.12151722819724248
avg log pred advi,41,1.0034348964691162,-0.11855346309670427
avg log pred advi,42,1.0269250869750977,-0.11573082265361563
avg log pred advi,43,1.050947904586792,-0.11308873109988593
avg log pred advi,44,1.0753118991851807,-0.11053137136493416
avg log pred advi,45,1.1001737117767334,-0.10807558473137899
avg log pred advi,46,1.1238679885864258,-0.10572619419909486
avg log pred advi,47,1.1480000019073486,-0.1034775473698745
avg log pred advi,48,1.1721749305725098,-0.10132181064215767
avg log pred advi,49,1.1954717636108398,-0.09925619640800246
avg log pred advi,50,1.2196240425109863,-0.09727680622031283
avg log pred advi,51,1.2431800365447998,-0.09536962926764816
avg log pred advi,52,1.267596960067749,-0.09353561607514074
avg log pred advi,53,1.2913627624511719,-0.09177101891496676
avg log pred advi,54,1.3154759407043457,-0.09007176081945979
avg log pred advi,55,1.3390789031982422,-0.08843431169952237
avg log pred advi,56,1.363128900527954,-0.08685580267928572
avg log pred advi,57,1.3872430324554443,-0.08533901629119715
avg log pred advi,58,1.4115679264068604,-0.08386768815107418
avg log pred advi,59,1.4354848861694336,-0.08244620456008857
avg log pred advi,60,1.45900297164917,-0.08107257790302339
avg log pred advi,61,1.4832777976989746,-0.07974353371123927
avg log pred advi,62,1.5076088905334473,-0.07845735255975285
avg log pred advi,63,1.5309739112854004,-0.07721215526349715
avg log pred advi,64,1.5547120571136475,-0.07600655952591266
